Station,Band Size,Bander,Recorder,Capture,Res vs Mig,Time,Net,Band #,Species,Chord,Flat Wing,Tail,Fat,BP,CP,B-molt,P-molt,S-molt,T-molt,Skull,Age,How aged,How aged,Sex,How sexed,How sexed,Weight,Month,Day,Year,Culmen,Bill Width,Notes
BARR,1,,,1,w,750,20,0680-64989,WWJU,80,,,0,0,0,N,N,N,N,,2,E,,U,,,19.7,10,18,1994,,,
BARR,1,,,1,w,1130,20,0680-65000,SCJU,73,,,0,0,0,Y,N,N,N,2,2,S,,F,W,,18.3,11,5,1994,,,
BARR,2,,,1,p,1110,,0692-85336,RWBL,126,,,,,,,,,,,2,H,,M,P,,,10,17,2000,,,
BARR,2,,,1,p,850,,0692-85338,EUST,123,,,,,,,,,,,1,O,,M,E,,,10,20,2000,,,
BARR,R,,,R,m,900,,0692-85347,SPTO,9,,,0,,,N,N,N,N, ,1,E,,M,P,,34.4,9,27,2001,,,
BARR,2,,,1,m,,,0692-85347,SPTO,91,,,,,,,,,,,2,E,,M,P,,,9,21,2001,,,
BARR,R,,,R,m,820,,0692-85348,SPTO,86,,,2,,,N,N,N,N, ,2,E,,M,P,,40.1,10,4,2001,,,
BARR,2,,,1,m,,,0692-85348,SPTO,87,,,,,,,,,,,2,E,,M,P,,,9,29,2001,,,
BARR,2,,,1,m,,,0692-85349,PESA,127,,,,,,,,,,,2,J,,M,W,,,10,7,2001,,,
BARR,2,,,1,m,,,0692-85350,LBDO,143,,,,,,,,,,,2,J,,U,,,,10,7,2001,,,
BARR,2,,,1,p,,,0692-85352,RWBL,108,,,,,,,,,,,1,S,,F,P,,,10,30,2001,,,
BARR,2,,,1,m,,,0692-85356,PESA,123,,,,,,,,,,,2,J,,U,,,,10,7,2001,,,
BARR,2,KF,,1,p,1040,17,0692-85396,AMRO,127,129,0,1,,,3,1,9,1,6,1,S,,F,P,,0,8,21,2002,,,
BARR,R,MJ,MJ,2,m,720,4,0692-85397,SPTO,86,89,98,1,,,N,N,N,N,,1,E,,M,P,,40.3,9,26,2002,,,"hind toe with claw=17.5, R6 white patch= 30.7"
BARR,R,DF,DF,2,m,850,5,0692-85397,SPTO,85,86,102,0,,,N,N,N,N,,1,E,,M,P,,39.8,9,30,2002,,,
BARR,R,MJ,YO,2,m,910,8,0692-85397,SPTO,86,88,95,0,,,N,N,N,N,,1,E,,M,P,,39.3,9,27,2002,,,
BARR,2,DF,,1,m,930,24,0692-85397,SPTO,87,89,100,2,,,N,N,N,N,,1,E,,M,P,,0,9,23,2002,,,
BARR,2,MJ,,1,m,750,16,0692-85398,SPTO,80,84,93,3,,,N,N,N,N,,2,E,,F,P,,39.1,9,27,2002,,,
BARR,R,MJ,SM,2,m,800,9,0692-85398,SPTO,79,85,92,3,,,1,N,N,N,,2,E,,F,P,,39,9,28,2002,,,
BARR,4,,,1,p,1030,23,0694-15505,BBMA,210,,,1,0,0,3,N,N,N,,2,H,,U,,,,9,6,1997,,,"FOUND DEAD IN BILMYER'S YARD, WINTER 97-98"
BARR,4,,,1,p,1830,,0694-15586,BBMA,,,,,,,,,,,,4,,,U,,,,5,26,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1830,,0694-15587,BBMA,,,,,,,,,,,,4,,,U,,,,5,26,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1830,,0694-15588,BBMA,,,,,,,,,,,,4,,,U,,,,5,26,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1830,,0694-15589,BBMA,,,,,,,,,,,,4,,,U,,,,5,26,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1430,,0694-15590,BBMA,,,,,,,,,,,,4,,,U,,,,5,28,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1430,,0694-15591,BBMA,,,,,,,,,,,,4,,,U,,,,5,28,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1430,,0694-15592,BBMA,,,,,,,,,,,,4,,,U,,,,5,28,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1430,,0694-15593,BBMA,,,,,,,,,,,,4,,,U,,,,5,28,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1430,,0694-15594,BBMA,,,,,,,,,,,,4,,,U,,,,5,28,1995,,,SHELTERBELT SW OF CBO
BARR,4,,,1,p,1430,,0694-15595,BBMA,,,,,,,,,,,,4,,,U,,,,5,28,1995,,,SHELTERBELT SW OF CBO
BARR,2,,,1,p,900,5,0722-32931,EUST,128,,66,1,0,0,N,N,N,N,3,1,21,,F,3,,73.5,10,21,1989,,,
BARR,2,,,1,p,845,6,0722-32932,EUST,122,,64,1,0,0,Y,N,N,N,,0,,,F,3,,75.2,10,28,1989,,,
BARR,2,,,1,p,1120,8,0722-32955,EUST,,,,,,,Y,,,,,2,H,,M,3,,,8,29,1990,,,
BARR,2,,,1,p,1120,8,0722-32956,EUST,,,,,,,Y,,,,,2,H,,F,3,,,8,29,1990,,,
BARR,2,,,1,p,820,11,0722-32957,EUST,130,,68,0,0,0,N,N,N,N,,1,A,,M,3,,81.7,9,12,1990,,,
BARR,2,,,1,p,900,8,0722-32958,EUST,115,,61,0,0,0,Y,T,5,N,,2,H,,F,3,,74.6,9,12,1990,,,"TERTS MOLTING, RSEC5, LSEC1"
BARR,2,,,1,p,900,8,0722-32959,EUST,125,,65,0,,,N,N,6,N,,2,H,,M,3,,73.8,9,12,1990,,,
BARR,2,,,1,p,900,8,0722-32960,EUST,124,,65,0,,,N,5,6,N,,2,H,,F,3,,77.2,9,12,1990,,,
BARR,2,,,1,m,735,4,0722-32961,SPTO,81,,100,1,,,N,N,N,N,1,2,2,,F,P,,35.6,9,15,1990,,,
BARR,R,,,R,m,725,5,0722-32962,SPTO,83,,100,1,0,0,N,N,N,N,1,2,23,,M,1,,36.6,10,6,1990,,,
BARR,R,,,R,m,725,5,0722-32962,SPTO,83,,100,1,0,0,N,N,N,N,1,2,23,,M,P,,36.6,10,6,1990,,,
BARR,2,,,1,m,800,6,0722-32962,SPTO,83,,100,2,,,N,N,N,N,,2,3,,M,P,,38.1,10,3,1990,,,
BARR,2,,,1,m,800,9,0722-32963,BRTH,100,,130,2,,,N,N,N,N,,1,3,,U,,,59.3,10,6,1990,,,JVL SPONS.; WING TIPS=8MM
BARR,2,,,1,m,930,5,0722-32964,SPTO,85,,100,0,,,N,N,N,N,,1,A,,M,P,,37.5,9,26,1991,,,
BARR,2,,,1,m,730,4,0722-32965,SPTO,83,,96,2,,,N,N,N,N,1,2,2,,M,P,,44.4,9,29,1991,,,
BARR,2,,,1,m,730,11,0722-32966,BRTH,105,,132,0,,,N,N,N,N,,1,13,,U,,,69.1,10,10,1991,,,UNDERWING COV GROWING A FEW
BARR,2,,,1,m,855,9,0722-32967,BRTH,102,,128,1,,,N,N,N,N,,2,H,,U,,,71.9,10,17,1991,,,
BARR,2,,,1,p,650,2,0722-32968,RWBL,129,,94,0,0,3,N,N,N,N,9,1,,,M,15,,,4,30,1993,,,
BARR,2,,,1,p,730,6,0722-32969,RWBL,122,,90,0,0,2,N,N,N,N,9,5,H,,M,15,,,4,30,1993,,,
BARR,2,,,1,m,730,8,0722-32970,SPTO,84,,88,0,0,3,N,N,N,N,9,1,,,M,15,,38.8,4,30,1993,,,
BARR,2,,,1,p,950,8,0722-32971,AMRO,131,,101,0,0,3,N,N,N,N,9,1,,,M,5,,,4,30,1993,,,
BARR,2,,,1,p,800,6,0722-32972,AMRO,,,,,3,,,,,,9,1,,,F,6,,,5,20,1993,,,
BARR,2,,,1,p,730,4,0722-32973,AMRO,,,,0,0,3,,,,,9,1,,,M,5,,,5,21,1993,,,
BARR,2,,,1,p,730,12,0722-32974,AMRO,,,,0,0,3,,,,,9,1,,,M,5,,,5,21,1993,,,
BARR,2,,,1,p,930,12,0722-32975,EUST,,,,0,1,3,N,N,N,N,9,1,,,M,5,,78.8,5,21,1993,,,
BARR,2,,,1,p,910,12,0722-32998,AMRO,125,,,1,0,0,4,4,1,A,,1,M,,M,P,,109.4,8,16,1995,,,
BARR,2,,,1,p,620,1,0722-32999,AMRO,124,,,0,,,N,N,N,N,,2,J,,U,,,62,8,19,1995,,,
BARR,2,,,1,p,1010,9,0722-33000,RWBL,122,,,0,0,0,2,1,N,N,,2,J,,M,P,,61.7,8,20,1995,,,
